14	272
Порядковый номер	Приоритет конкурса	Подано согласие	Сумма баллов	Баллы за ВИ	Баллы за ИД	Статус	Код поступающего	Дата выбора конкурсной группы по Москве
1	4	—	288	95 94 89	10	Участвуете в конкурсе	2047342	13.07.2026 в 18:00
2	1	—	281	90 100 81	10	Участвуете в конкурсе	1773730	07.07.2026 в 15:19
3	3	—	278	86 93 89	10	Участвуете в конкурсе	1901718	09.07.2026 в 17:04
4	2	—	270	86 96 78	10	На рассмотрении	1651842	16.07.2026 в 12:36
5	2	—	270	84 85 91	10	На рассмотрении	1790665	07.07.2026 в 20:05
6	1	—	265	84 80 91	10	На рассмотрении	1473655	02.07.2026 в 12:32
7	2	—	259	84 85 83	7	Участвуете в конкурсе	1185184	28.06.2026 в 11:34
8	4	—	259	86 80 83	10	Участвуете в конкурсе	1622784	04.07.2026 в 20:09
9	1	Электронное	259	88 88 73	10	На рассмотрении	2152252	16.07.2026 в 11:16
10	2	—	258	90 88 78	2	Участвуете в конкурсе	1478345	07.07.2026 в 00:08
11	1	—	257	86 80 81	10	На рассмотрении	1527825	06.07.2026 в 16:28
12	3	Электронное	256	86 81 89	0	На рассмотрении	980026	20.06.2026 в 18:45
13	1	—	256	88 83 83	2	Участвуете в конкурсе	1864804	09.07.2026 в 08:46
14	2	—	254	86 83 75	10	Участвуете в конкурсе	1825190	08.07.2026 в 13:13
15	2	—	252	82 90 70	10	Участвуете в конкурсе	1175055	27.06.2026 в 17:46
16	1	—	252	82 90 70	10	На рассмотрении	1331996	15.07.2026 в 19:43
17	4	—	252	82 85 75	10	Конкурсная группа исключена	1852200	08.07.2026 в 20:04
18	1	Бумажное	249	82 76 89	2	Участвуете в конкурсе	1225813	29.06.2026 в 10:53
19	2	—	247	82 85 70	10	Конкурсная группа исключена	1210978	28.06.2026 в 21:23
20	3	—	247	78 86 73	10	На рассмотрении	1355752	17.07.2026 в 17:01
21	5	—	246	78 86 75	7	Участвуете в конкурсе	1266507	29.06.2026 в 21:51
22	1	—	246	72 78 86	10	Участвуете в конкурсе	1177619	29.06.2026 в 21:54
23	4	—	245	86 82 75	2	Участвуете в конкурсе	1646083	09.07.2026 в 17:58
24	4	—	245	82 80 73	10	На рассмотрении	2207370	17.07.2026 в 13:55
25	1	—	244	90 88 64	2	Участвуете в конкурсе	1507668	02.07.2026 в 19:24
26	1	—	244	80 73 89	2	Участвуете в конкурсе	1977630	11.07.2026 в 13:57
27	3	—	244	78 83 73	10	Участвуете в конкурсе	1891991	09.07.2026 в 15:08
28	3	—	243	88 90 63	2	Участвуете в конкурсе	1449996	02.07.2026 в 07:24
29	1	—	243	72 83 86	2	Участвуете в конкурсе	1550409	04.07.2026 в 12:15
30	2	—	242	82 75 78	7	Участвуете в конкурсе	1997849	12.07.2026 в 16:12
31	1	—	241	80 70 81	10	Участвуете в конкурсе	1304311	13.07.2026 в 18:12
32	4	—	241	86 73 72	10	Участвуете в конкурсе	1781500	07.07.2026 в 16:54
33	2	—	239	78 80 81	0	Участвуете в конкурсе	1386140	01.07.2026 в 11:14
34	2	—	239	78 78 81	2	Участвуете в конкурсе	1194801	28.06.2026 в 14:23
35	1	—	239	82 80 75	2	Участвуете в конкурсе	1255719	29.06.2026 в 21:36
36	1	—	239	72 90 73	4	На рассмотрении	2192233	17.07.2026 в 10:06
37	5	—	239	84 76 69	10	Участвуете в конкурсе	1360415	30.06.2026 в 21:22
38	1	—	238	86 78 72	2	Участвуете в конкурсе	1257262	04.07.2026 в 12:42
39	3	Бумажное	238	80 75 73	10	Участвуете в конкурсе	1822374	08.07.2026 в 12:43
40	5	Электронное	237	72 72 86	7	Конкурсная группа исключена	1220132	29.06.2026 в 07:53
41	2	—	236	78 67 81	10	На рассмотрении	1398101	09.07.2026 в 10:37
42	4	—	234	74 100 58	2	На рассмотрении	1285218	17.07.2026 в 12:24
43	2	Электронное	234	80 80 72	2	Участвуете в конкурсе	1587259	04.07.2026 в 02:13
44	2	—	234	80 80 64	10	На рассмотрении	1288694	09.07.2026 в 11:27
45	4	—	233	78 67 78	10	На рассмотрении	1510884	02.07.2026 в 20:24
46	2	—	233	70 72 81	10	Участвуете в конкурсе	1960710	10.07.2026 в 20:42
47	2	—	232	82 70 78	2	На рассмотрении	2217776	17.07.2026 в 16:37
48	2	—	232	82 76 64	10	Конкурсная группа исключена	1072291	23.06.2026 в 18:42
49	3	—	232	80 70 72	10	На рассмотрении	1718992	06.07.2026 в 18:52
50	2	Электронное	231	84 83 64	0	Передано в вуз	2241286	18.07.2026 в 13:06
51	1	—	230	78 83 67	2	Участвуете в конкурсе	1787824	07.07.2026 в 18:58
52	4	Электронное	230	70 75 75	10	Участвуете в конкурсе	1884964	09.07.2026 в 13:23
53	3	—	229	74 62 91	2	Участвуете в конкурсе	1770464	07.07.2026 в 16:08
54	1	—	229	88 70 69	2	На рассмотрении	2207086	17.07.2026 в 13:51
55	1	—	229	74 67 78	10	Участвуете в конкурсе	1188940	28.06.2026 в 11:57
56	2	—	229	80 56 83	10	На рассмотрении	1262977	29.06.2026 в 21:47
57	1	Электронное	229	74 85 60	10	Участвуете в конкурсе	1431602	01.07.2026 в 19:17
58	1	—	228	86 73 69	0	Участвуете в конкурсе	1058474	23.06.2026 в 13:01
59	2	—	228	82 73 63	10	На рассмотрении	1680216	06.07.2026 в 12:02
60	3	—	227	82 80 61	4	Участвуете в конкурсе	1600419	04.07.2026 в 11:42
61	3	—	226	84 68 72	2	Участвуете в конкурсе	1252536	29.06.2026 в 21:32
62	3	—	226	80 70 66	10	На рассмотрении	1192548	30.06.2026 в 10:32
63	1	—	226	82 64 70	10	Участвуете в конкурсе	1210377	30.06.2026 в 16:13
64	2	Бумажное	226	76 67 73	10	Участвуете в конкурсе	1815409	08.07.2026 в 11:26
65	2	—	224	80 65 69	10	На рассмотрении	1496395	02.07.2026 в 16:05
66	1	—	222	70 88 64	0	Участвуете в конкурсе	1433278	10.07.2026 в 12:08
67	2	Электронное	222	78 72 70	2	Участвуете в конкурсе	1179401	27.06.2026 в 21:14
68	2	—	222	82 83 55	2	Участвуете в конкурсе	1299504	01.07.2026 в 20:33
69	3	—	222	76 75 69	2	Участвуете в конкурсе	1568334	03.07.2026 в 18:24
70	3	—	222	74 74 64	10	Участвуете в конкурсе	2015026	13.07.2026 в 10:06
71	3	Электронное	221	76 65 78	2	Участвуете в конкурсе	1436933	01.07.2026 в 20:54
72	3	—	220	84 54 72	10	На рассмотрении	1514934	02.07.2026 в 21:07
73	3	Бумажное	219	70 83 64	2	Участвуете в конкурсе	1451103	02.07.2026 в 08:02
74	1	Бумажное	219	82 75 60	2	Участвуете в конкурсе	1591449	04.07.2026 в 09:07
75	4	—	219	74 72 63	10	Участвуете в конкурсе	1195273	28.06.2026 в 14:34
76	2	Электронное	219	82 64 63	10	Участвуете в конкурсе	1259125	30.06.2026 в 10:10
77	2	—	217	70 67 78	2	Участвуете в конкурсе	991401	21.06.2026 в 11:14
78	1	—	217	76 67 72	2	Участвуете в конкурсе	1356103	08.07.2026 в 10:24
79	2	—	216	78 70 66	2	Участвуете в конкурсе	1303639	30.06.2026 в 10:06
80	3	—	216	78 71 57	10	Участвуете в конкурсе	1071110	01.07.2026 в 20:44
81	3	—	216	86 48 72	10	На рассмотрении	1397075	01.07.2026 в 13:29
82	5	—	215	78 62 73	2	Участвуете в конкурсе	1200929	07.07.2026 в 19:07
83	3	—	215	76 70 67	2	Участвуете в конкурсе	1771853	07.07.2026 в 15:00
84	4	—	215	74 64 67	10	Участвуете в конкурсе	1186745	09.07.2026 в 18:56
