"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
1;1;"—";288;"95 94 89";10;"Участвуете в конкурсе";2047342;"13.07.2026 в 18:00"
2;2;"—";286;"88 94 94";10;"На рассмотрении";1610075;"04.07.2026 в 14:21"
3;4;"—";278;"86 93 89";10;"Участвуете в конкурсе";1901718;"09.07.2026 в 17:04"
4;1;"—";271;"92 98 81";0;"На рассмотрении";1128986;"25.06.2026 в 18:06"
5;2;"—";271;"88 92 81";10;"На рассмотрении";1736057;"07.07.2026 в 08:16"
6;1;"—";267;"90 84 83";10;"На рассмотрении";1195350;"01.07.2026 в 19:17"
7;4;"Электронное";259;"88 88 73";10;"На рассмотрении";2152252;"16.07.2026 в 14:29"
8;3;"—";258;"90 88 78";2;"Участвуете в конкурсе";1478345;"07.07.2026 в 00:08"
9;4;"—";252;"82 90 70";10;"На рассмотрении";1331996;"15.07.2026 в 19:43"
10;2;"—";250;"74 80 94";2;"На рассмотрении";1450367;"02.07.2026 в 07:37"
11;2;"Бумажное";250;"80 74 86";10;"Участвуете в конкурсе";1869968;"09.07.2026 в 10:22"
12;2;"—";249;"82 79 78";10;"На рассмотрении";1473637;"07.07.2026 в 20:37"
13;1;"—";247;"86 78 73";10;"На рассмотрении";1425671;"05.07.2026 в 20:15"
14;5;"—";243;"88 90 63";2;"Участвуете в конкурсе";1449996;"02.07.2026 в 07:24"
15;2;"—";241;"86 73 72";10;"Участвуете в конкурсе";1781500;"07.07.2026 в 16:54"
16;4;"—";239;"72 90 73";4;"На рассмотрении";2192233;"17.07.2026 в 10:06"
17;4;"—";239;"78 73 78";10;"На рассмотрении";1193700;"04.07.2026 в 17:36"
18;4;"—";238;"78 88 70";2;"Участвуете в конкурсе";1982570;"11.07.2026 в 17:04"
19;2;"—";238;"84 80 64";10;"На рассмотрении";1464332;"03.07.2026 в 09:27"
20;4;"Бумажное";238;"80 75 73";10;"Участвуете в конкурсе";1822374;"08.07.2026 в 12:43"
21;3;"Электронное";237;"72 72 86";7;"Участвуете в конкурсе";1220132;"09.07.2026 в 20:14"
22;3;"—";236;"78 67 81";10;"На рассмотрении";1398101;"08.07.2026 в 18:04"
23;5;"—";236;"80 55 91";10;"На рассмотрении";2184100;"17.07.2026 в 00:55"
24;5;"—";234;"80 80 64";10;"На рассмотрении";1288694;"09.07.2026 в 11:27"
25;3;"—";233;"78 67 86";2;"Участвуете в конкурсе";1669065;"06.07.2026 в 10:13"
26;3;"—";233;"70 72 81";10;"Участвуете в конкурсе";1960710;"10.07.2026 в 20:42"
27;3;"Электронное";230;"84 78 66";2;"Участвуете в конкурсе";1330460;"30.06.2026 в 15:15"
28;4;"Электронное";229;"80 78 61";10;"Участвуете в конкурсе";977703;"20.06.2026 в 17:22"
29;3;"—";228;"72 73 81";2;"Участвуете в конкурсе";1418890;"01.07.2026 в 16:13"
30;4;"Электронное";228;"76 79 69";4;"Участвуете в конкурсе";1377833;"01.07.2026 в 09:47"
31;3;"—";228;"82 73 63";10;"На рассмотрении";1680216;"06.07.2026 в 12:02"
32;5;"—";227;"82 80 61";4;"Участвуете в конкурсе";1600419;"04.07.2026 в 11:42"
33;1;"—";226;"80 70 66";10;"На рассмотрении";1192548;"30.06.2026 в 10:32"
34;3;"Бумажное";226;"76 67 73";10;"Участвуете в конкурсе";1815409;"08.07.2026 в 11:26"
35;4;"—";224;"72 70 72";10;"На рассмотрении";1501366;"17.07.2026 в 15:50"
36;3;"Бумажное";224;"70 74 70";10;"Участвуете в конкурсе";2027647;"13.07.2026 в 12:54"
