"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
1;2;"—";281;"90 100 81";10;"Участвуете в конкурсе";1773730;"07.07.2026 в 15:19"
2;2;"—";278;"86 93 89";10;"Участвуете в конкурсе";1901718;"09.07.2026 в 17:04"
3;1;"—";270;"86 96 78";10;"На рассмотрении";1651842;"16.07.2026 в 12:36"
4;4;"—";270;"84 85 91";10;"На рассмотрении";1790665;"07.07.2026 в 20:05"
5;2;"—";265;"84 80 91";10;"На рассмотрении";1473655;"02.07.2026 в 12:32"
6;3;"—";259;"84 85 83";7;"Участвуете в конкурсе";1185184;"28.06.2026 в 11:34"
7;1;"—";259;"80 83 86";10;"На рассмотрении";1573539;"03.07.2026 в 18:48"
8;3;"—";259;"86 80 83";10;"Участвуете в конкурсе";1622784;"04.07.2026 в 20:09"
9;2;"Электронное";259;"88 88 73";10;"На рассмотрении";2152252;"16.07.2026 в 11:16"
10;1;"—";258;"90 88 78";2;"Участвуете в конкурсе";1478345;"07.07.2026 в 00:08"
11;1;"—";258;"82 83 83";10;"На рассмотрении";1264859;"05.07.2026 в 15:38"
12;2;"—";257;"86 80 81";10;"На рассмотрении";1527825;"06.07.2026 в 16:28"
13;1;"Электронное";256;"86 81 89";0;"На рассмотрении";980026;"20.06.2026 в 18:45"
14;2;"—";256;"88 83 83";2;"Участвуете в конкурсе";1864804;"09.07.2026 в 08:46"
15;1;"—";254;"86 83 75";10;"Участвуете в конкурсе";1825190;"08.07.2026 в 13:13"
16;3;"—";252;"82 90 70";10;"Участвуете в конкурсе";1175055;"27.06.2026 в 17:46"
17;3;"—";252;"82 90 70";10;"На рассмотрении";1331996;"15.07.2026 в 19:43"
18;2;"—";252;"82 85 75";10;"Конкурсная группа исключена";1852200;"08.07.2026 в 20:04"
19;1;"—";251;"80 78 83";10;"На рассмотрении";1881652;"09.07.2026 в 12:43"
20;1;"—";247;"82 85 70";10;"Конкурсная группа исключена";1210978;"28.06.2026 в 21:23"
21;2;"—";246;"72 78 86";10;"Участвуете в конкурсе";1177619;"29.06.2026 в 21:54"
22;3;"—";245;"86 82 75";2;"Участвуете в конкурсе";1646083;"09.07.2026 в 17:58"
23;3;"—";245;"82 80 73";10;"На рассмотрении";2207370;"17.07.2026 в 13:55"
24;2;"—";244;"90 88 64";2;"Участвуете в конкурсе";1507668;"02.07.2026 в 19:24"
25;1;"—";244;"78 83 73";10;"Участвуете в конкурсе";1891991;"09.07.2026 в 15:08"
26;2;"—";243;"88 90 63";2;"Участвуете в конкурсе";1449996;"02.07.2026 в 07:24"
27;2;"—";243;"72 83 86";2;"Участвуете в конкурсе";1550409;"04.07.2026 в 12:15"
28;2;"—";243;"74 78 81";10;"На рассмотрении";1406061;"05.07.2026 в 11:09"
29;1;"—";243;"80 67 86";10;"Участвуете в конкурсе";1530121;"07.07.2026 в 20:27"
30;1;"—";242;"82 75 78";7;"Участвуете в конкурсе";1997849;"12.07.2026 в 16:12"
31;2;"—";241;"80 70 81";10;"Участвуете в конкурсе";1304311;"13.07.2026 в 18:12"
32;1;"—";239;"78 78 81";2;"Участвуете в конкурсе";1194801;"28.06.2026 в 14:23"
33;2;"—";239;"82 80 75";2;"Участвуете в конкурсе";1255719;"29.06.2026 в 21:36"
34;2;"—";239;"72 90 73";4;"На рассмотрении";2192233;"17.07.2026 в 10:06"
35;3;"—";238;"76 80 72";10;"На рассмотрении";1568440;"03.07.2026 в 18:25"
36;2;"Бумажное";238;"80 75 73";10;"Участвуете в конкурсе";1822374;"08.07.2026 в 12:43"
37;3;"Электронное";237;"72 72 86";7;"Конкурсная группа исключена";1220132;"29.06.2026 в 07:53"
38;2;"—";234;"74 100 58";2;"На рассмотрении";1285218;"17.07.2026 в 12:24"
39;1;"Электронное";234;"80 80 72";2;"Участвуете в конкурсе";1587259;"04.07.2026 в 02:13"
40;1;"—";233;"78 67 78";10;"На рассмотрении";1510884;"02.07.2026 в 20:24"
41;1;"—";233;"70 72 81";10;"Участвуете в конкурсе";1960710;"10.07.2026 в 20:42"
42;1;"—";232;"82 70 78";2;"На рассмотрении";2217776;"17.07.2026 в 16:37"
43;1;"—";232;"80 70 72";10;"На рассмотрении";1718992;"06.07.2026 в 18:52"
44;2;"—";231;"82 80 69";0;"Участвуете в конкурсе";1619514;"08.07.2026 в 18:50"
45;1;"Электронное";231;"84 83 64";0;"Передано в вуз";2241286;"18.07.2026 в 13:06"
46;2;"—";231;"80 79 70";2;"Участвуете в конкурсе";1721480;"06.07.2026 в 19:43"
47;6;"Электронное";230;"84 78 66";2;"Участвуете в конкурсе";1330460;"30.06.2026 в 15:15"
48;2;"—";230;"78 83 67";2;"Участвуете в конкурсе";1787824;"07.07.2026 в 18:58"
49;2;"Электронное";230;"70 75 75";10;"Участвуете в конкурсе";1884964;"09.07.2026 в 13:23"
50;2;"—";229;"74 62 91";2;"Участвуете в конкурсе";1770464;"07.07.2026 в 16:08"
51;3;"—";229;"88 70 69";2;"На рассмотрении";2207086;"17.07.2026 в 13:51"
52;1;"—";229;"80 56 83";10;"На рассмотрении";1262977;"29.06.2026 в 21:47"
53;3;"Электронное";229;"74 85 60";10;"Участвуете в конкурсе";1431602;"01.07.2026 в 19:17"
54;2;"—";227;"82 80 61";4;"Участвуете в конкурсе";1600419;"04.07.2026 в 11:42"
55;1;"—";226;"78 80 66";2;"Участвуете в конкурсе";1806538;"15.07.2026 в 11:36"
56;4;"—";226;"80 70 66";10;"На рассмотрении";1192548;"30.06.2026 в 10:32"
57;4;"Бумажное";226;"76 67 73";10;"Участвуете в конкурсе";1815409;"08.07.2026 в 11:26"
58;2;"—";223;"82 70 69";2;"На рассмотрении";2217965;"17.07.2026 в 16:40"
59;3;"Электронное";222;"78 72 70";2;"Участвуете в конкурсе";1179401;"27.06.2026 в 21:14"
60;1;"—";222;"82 83 55";2;"Участвуете в конкурсе";1299504;"01.07.2026 в 20:33"
61;2;"—";222;"76 75 69";2;"Участвуете в конкурсе";1568334;"03.07.2026 в 18:24"
62;5;"Электронное";221;"76 65 78";2;"Участвуете в конкурсе";1436933;"01.07.2026 в 20:54"
63;2;"—";221;"82 67 70";2;"Участвуете в конкурсе";2001702;"12.07.2026 в 19:28"
64;1;"—";220;"82 64 72";2;"Участвуете в конкурсе";1201094;"05.07.2026 в 14:55"
65;1;"—";220;"84 54 72";10;"На рассмотрении";1514934;"02.07.2026 в 21:07"
66;1;"Бумажное";219;"70 83 64";2;"Участвуете в конкурсе";1451103;"02.07.2026 в 08:02"
67;2;"Бумажное";219;"82 75 60";2;"Участвуете в конкурсе";1591449;"04.07.2026 в 09:07"
68;2;"—";219;"74 72 63";10;"Участвуете в конкурсе";1195273;"28.06.2026 в 14:34"
69;1;"—";217;"70 67 78";2;"Участвуете в конкурсе";991401;"21.06.2026 в 11:14"
70;3;"—";216;"78 70 66";2;"Участвуете в конкурсе";1303639;"30.06.2026 в 10:06"
71;2;"—";216;"64 67 83";2;"Участвуете в конкурсе";1419018;"01.07.2026 в 16:15"
72;5;"—";216;"78 71 57";10;"Участвуете в конкурсе";1071110;"01.07.2026 в 20:44"
